"year","month","statefip","age","sex","race","college","earnweek","hrsworkt","hispanic","ind","hhid","personid","serial"
2022,6,1,29,"Female","White","No college degree",370,40,"Not Hispanic",7860,20210300064400,20210300064401,646
2022,6,1,30,"Male","White","No college degree",1300,60,"Not Hispanic",4971,20210300064400,20210300064402,646
2022,6,1,52,"Female","Black","College degree",1460,NA,"Not Hispanic",7580,20220300066000,20220300066002,647
2022,6,1,47,"Male","White","No college degree",1000,40,"Not Hispanic",770,20220300066700,20220300066701,661
2022,6,1,16,"Male","White","No college degree",190,20,"Not Hispanic",8680,20220300066700,20220300066703,661
2022,6,1,26,"Female","White","No college degree",600,40,"Not Hispanic",8680,20220300066700,20220300066704,661
2022,6,1,36,"Female","White","No college degree",870,40,"Not Hispanic",1180,20220300067200,20220300067201,663
2022,6,1,38,"Male","White","No college degree",640,40,"Not Hispanic",3570,20220300067200,20220300067202,663
2022,6,1,62,"Female","Black","College degree",1650,40,"Not Hispanic",9590,20210300065700,20210300065701,664
2022,6,1,37,"Female","White","No college degree",770,40,"Not Hispanic",6991,20210300067000,20210300067001,680
2022,6,1,38,"Male","White","College degree",2884.61,50,"Not Hispanic",3390,20220300068800,20220300068801,681
2022,6,1,50,"Female","Black","College degree",2380,NA,"Not Hispanic",6890,20220300069000,20220300069003,683
2022,6,1,33,"Female","White","College degree",962,50,"Hispanic",7390,20220300070200,20220300070201,688
2022,6,1,58,"Male","White","No college degree",1150,60,"Not Hispanic",8180,20220300071000,20220300071001,689
2022,6,1,63,"Male","White","No college degree",760,40,"Not Hispanic",4470,20210300072000,20210300072001,716
2022,6,1,24,"Male","White","No college degree",1100,50,"Not Hispanic",770,20210300073000,20210300073001,739
2022,6,1,45,"Male","Black","College degree",1680,40,"Not Hispanic",2680,20210300074100,20210300074102,747
2022,6,1,59,"Female","White","No college degree",376,40,"Not Hispanic",3980,20220300075000,20220300075001,748
2022,6,1,54,"Female","White","No college degree",2020,40,"Not Hispanic",6991,20220300075200,20220300075201,749
2022,6,1,48,"Female","White","No college degree",600,45,"Not Hispanic",4690,20210300075300,20210300075301,757
2022,6,1,65,"Female","White","No college degree",210,14,"Not Hispanic",8270,20220300077300,20220300077301,768
2022,6,1,53,"Male","Black","College degree",2300,40,"Not Hispanic",9590,20220300078200,20220300078201,778
2022,6,1,49,"Female","White","No college degree",348,30,"Not Hispanic",7860,20220600079700,20220600079701,797
2022,6,1,57,"Male","White","College degree",2700,24,"Not Hispanic",9590,20220300079900,20220300079901,800
2022,6,1,50,"Male","White","No college degree",854,40,"Not Hispanic",3570,20210300083600,20210300083601,841
2022,6,1,70,"Male","White","College degree",540,40,"Not Hispanic",6470,20210300083900,20210300083901,843
2022,6,1,60,"Male","White","No college degree",578,40,"Not Hispanic",3570,20210300083900,20210300083902,843
2022,6,1,45,"Male","White","No college degree",680,40,"Not Hispanic",3895,20220300088400,20220300088401,878
2022,6,1,41,"Female","White","College degree",990,40,"Not Hispanic",6890,20220300088400,20220300088402,878
2022,6,1,39,"Female","Black","No college degree",660,40,"Not Hispanic",7860,20220300088700,20220300088701,880
2022,6,1,41,"Male","Black","No college degree",710,45,"Not Hispanic",1870,20220300088700,20220300088702,880
2022,6,1,61,"Female","White","College degree",990,40,"Not Hispanic",7580,20220300089500,20220300089501,891
2022,6,1,65,"Male","White","College degree",576,43,"Not Hispanic",2880,20210300091100,20210300091102,912
2022,6,1,22,"Male","White","No college degree",712,40,"Not Hispanic",9470,20220300093700,20220300093701,943
2022,6,1,22,"Male","White","No college degree",720,40,"Not Hispanic",9590,20220300093700,20220300093702,943
2022,6,1,37,"Female","White","No college degree",480,40,"Not Hispanic",6370,20210300093400,20210300093401,948
2022,6,1,59,"Male","White","No college degree",920,40,"Not Hispanic",9590,20210300094500,20210300094501,961
2022,6,1,63,"Female","White","No college degree",1060,40,"Not Hispanic",3570,20210300094500,20210300094502,961
2022,6,1,30,"Female","White","No college degree",500,NA,"Not Hispanic",3570,20210300094500,20210300094503,961
2022,6,1,22,"Male","White","No college degree",600,40,"Not Hispanic",8870,20210300097000,20210300097001,985
2022,6,1,22,"Female","White","College degree",962,40,"Not Hispanic",8191,20210300097000,20210300097002,985
2022,6,1,26,"Male","Black","College degree",1078,40,"Not Hispanic",9470,20210300097200,20210300097201,988
2022,6,1,28,"Female","Black","College degree",934,40,"Hispanic",7860,20210300097200,20210300097202,988
2022,6,1,47,"Male","White","No college degree",1250,40,"Not Hispanic",8680,20210300097400,20210300097402,989
2022,6,1,56,"Female","Black","No college degree",1090,40,"Not Hispanic",6390,20220300098700,20220300098701,992
2022,6,1,46,"Male","Black","No college degree",462,40,"Not Hispanic",6390,20220300098800,20220300098802,993
2022,6,1,85,"Female","White","College degree",1380,25,"Not Hispanic",5381,20220300100000,20220300100001,1004
2022,6,1,61,"Female","Black","No college degree",420,28,"Not Hispanic",5170,20220300100400,20220300100401,1009
2022,6,1,45,"Male","White","No college degree",1000,40,"Not Hispanic",4670,20220300100900,20220300100901,1015
2022,6,1,37,"Female","White","No college degree",330,40,"Not Hispanic",8470,20220300100900,20220300100902,1015
2022,6,1,54,"Male","White","College degree",1380,60,"Not Hispanic",9160,20220300101900,20220300101901,1027
2022,6,1,54,"Female","White","College degree",2884.61,25,"Not Hispanic",7280,20220300101900,20220300101902,1027
2022,6,1,57,"Female","White","No college degree",1100,45,"Not Hispanic",3895,20210300101700,20210300101701,1037
2022,6,1,31,"Female","White","College degree",616,45,"Not Hispanic",3895,20210300101700,20210300101702,1037
2022,6,1,28,"Male","Black","No college degree",1400,50,"Not Hispanic",7580,20220300103000,20220300103001,1043
2022,6,1,26,"Female","White","No college degree",1400,50,"Not Hispanic",7580,20220300103000,20220300103002,1043
2022,6,1,41,"Male","White","No college degree",640,40,"Not Hispanic",1570,20220300104000,20220300104001,1049
2022,6,1,39,"Female","White","No college degree",2120,40,"Not Hispanic",1570,20220300104000,20220300104002,1049
2022,6,1,59,"Male","White","No college degree",2560,32,"Not Hispanic",9590,20210300104200,20210300104202,1063
2022,6,1,45,"Male","White","No college degree",1250,60,"Not Hispanic",770,20220300105700,20220300105701,1065
2022,6,1,69,"Female","White","No college degree",640,40,"Not Hispanic",3291,20210300107000,20210300107002,1085
2022,6,1,34,"Female","White","No college degree",840,32,"Not Hispanic",7690,20220300108700,20220300108701,1093
2022,6,1,51,"Female","White","No college degree",740,40,"Not Hispanic",2290,20210300107700,20210300107701,1095
2022,6,1,48,"Female","Black","College degree",886,40,"Not Hispanic",7860,20210300109300,20210300109301,1109
2022,6,1,29,"Male","White","College degree",1000,50,"Not Hispanic",9470,20210300109800,20210300109802,1115
2022,6,1,58,"Female","White","No college degree",1540,40,"Not Hispanic",6870,20220300111700,20220300111701,1129
2022,6,1,35,"Female","White","College degree",482,40,"Not Hispanic",8990,20210300113600,20210300113601,1158
2022,6,1,24,"Male","White","College degree",386,40,"Not Hispanic",8990,20210300113600,20210300113602,1158
2022,6,1,44,"Male","White","No college degree",576,40,"Hispanic",7770,20210300114300,20210300114301,1165
2022,6,1,22,"Male","White","No college degree",1780,50,"Not Hispanic",8870,20220300115100,20220300115101,1167
2022,6,1,63,"Male","White","No college degree",2884.61,50,"Not Hispanic",8870,20220300115100,20220300115103,1167
2022,6,1,44,"Male","White","No college degree",1350,40,"Not Hispanic",9590,20210300115000,20210300115001,1170
2022,6,1,19,"Female","White","No college degree",600,40,"Not Hispanic",8191,20210300115000,20210300115002,1170
2022,6,1,46,"Male","White","No college degree",1540,60,"Not Hispanic",6170,20210300115800,20210300115801,1179
2022,6,1,63,"Female","White","No college degree",180,NA,"Not Hispanic",7860,20210300117100,20210300117101,1191
2022,6,1,67,"Male","White","No college degree",1250,50,"Not Hispanic",3570,20210300117100,20210300117102,1191
2022,6,1,55,"Female","White","No college degree",600,40,"Not Hispanic",8170,20220300119600,20220300119601,1206
2022,6,1,58,"Male","White","No college degree",1038,55,"Not Hispanic",2380,20220300119600,20220300119602,1206
2022,6,1,33,"Male","White","No college degree",820,40,"Not Hispanic",290,20220300120000,20220300120001,1208
2022,6,1,35,"Female","White","No college degree",440,40,"Not Hispanic",7270,20220300120000,20220300120002,1208
2022,6,1,20,"Female","White","No college degree",232,15,"Not Hispanic",7870,20220300120500,20220300120501,1215
2022,6,1,21,"Female","White","No college degree",194,10,"Not Hispanic",7870,20220300120500,20220300120502,1215
2022,6,1,47,"Male","White","No college degree",348,40,"Hispanic",770,20210300122300,20210300122302,1229
2022,6,1,23,"Male","Asian only","College degree",500,20,"Not Hispanic",7870,20220300123400,20220300123401,1240
2022,6,1,35,"Male","White","College degree",2400,40,"Not Hispanic",8191,20220300123600,20220300123601,1242
2022,6,1,28,"Female","White","College degree",2060,40,"Hispanic",6992,20220300123600,20220300123602,1242
2022,6,1,33,"Female","White","College degree",1940,40,"Not Hispanic",7870,20210300125100,20210300125101,1264
2022,6,1,54,"Female","White","No college degree",770,40,"Not Hispanic",770,20220300128500,20220300128501,1291
2022,6,1,37,"Female","White","No college degree",720,1,"Not Hispanic",7860,20210300131600,20210300131601,1315
2022,6,1,40,"Male","White","No college degree",1700,80,"Not Hispanic",770,20210300131600,20210300131602,1315
2022,6,1,76,"Male","White","College degree",482,40,"Not Hispanic",5391,20220300131800,20220300131801,1321
2022,6,1,64,"Female","White","No college degree",1058,40,"Hispanic",6970,20220300131800,20220300131802,1321
2022,6,1,24,"Male","White","No college degree",500,40,"Not Hispanic",8680,20210300132100,20210300132102,1322
2022,6,1,51,"Male","White","No college degree",1440,40,"Not Hispanic",3570,20210300132100,20210300132103,1322
2022,6,1,32,"Female","White","No college degree",750,NA,"Not Hispanic",8980,20210300132900,20210300132901,1329
2022,6,1,33,"Male","White","No college degree",750,40,"Not Hispanic",4870,20210300132900,20210300132902,1329
2022,6,1,27,"Male","White","No college degree",804,40,"Not Hispanic",7181,20210300133500,20210300133502,1341
2022,6,1,32,"Male","White","College degree",500,40,"Not Hispanic",8680,20210300133800,20210300133801,1346
2022,6,1,52,"Male","Black","College degree",480,40,"Not Hispanic",7580,20210300134100,20210300134101,1352
2022,6,1,48,"Male","White","No college degree",700,NA,"Not Hispanic",4670,20220300134700,20220300134701,1361
2022,6,1,51,"Female","White","No college degree",430,38,"Not Hispanic",5391,20220300134700,20220300134702,1361
2022,6,1,51,"Male","Asian only","College degree",2080,40,"Not Hispanic",7380,20220300136400,20220300136401,1376
2022,6,1,42,"Female","White","College degree",1540,40,"Not Hispanic",8170,20220300136600,20220300136601,1379
2022,6,1,50,"Male","White","College degree",1880,40,"Not Hispanic",8590,20220300136600,20220300136602,1379
2022,6,1,27,"Male","White","No college degree",1000,40,"Not Hispanic",5391,20220300136800,20220300136804,1382
2022,6,1,51,"Female","White","No college degree",1000,40,"Not Hispanic",770,20220300137500,20220300137501,1390
2022,6,1,57,"Male","White","No college degree",1050,53,"Not Hispanic",2590,20220300137800,20220300137801,1394
2022,6,1,60,"Female","White","No college degree",576,36,"Not Hispanic",8191,20220300137800,20220300137802,1394
2022,6,1,42,"Male","Black","No college degree",616,50,"Not Hispanic",8290,20210300138400,20210300138401,1397
2022,6,1,49,"Male","White","College degree",1880,40,"Not Hispanic",7870,20220300140200,20220300140201,1409
2022,6,1,68,"Male","White","No college degree",980,40,"Not Hispanic",8590,20220300140600,20220300140602,1418
2022,6,1,26,"Male","White","No college degree",1430,40,"Not Hispanic",8590,20220300140600,20220300140603,1418
2022,6,1,25,"Female","White","College degree",462,45,"Hispanic",7870,20220300140800,20220300140801,1422
2022,6,1,35,"Female","White","No college degree",864,40,"Not Hispanic",7860,20210300141400,20210300141401,1426
2022,6,1,36,"Male","White","No college degree",1050,40,"Not Hispanic",3580,20210300141400,20210300141402,1426
2022,6,1,31,"Male","White","College degree",1096,40,"Not Hispanic",8570,20220300141200,20220300141201,1429
2022,6,1,31,"Female","Asian only","College degree",960,40,"Not Hispanic",770,20220300141200,20220300141202,1429
2022,6,1,27,"Female","Black","No college degree",904,40,"Not Hispanic",7860,20220300141700,20220300141701,1435
2022,6,1,64,"Female","White","No college degree",348,38,"Not Hispanic",8191,20210300143900,20210300143901,1446
2022,6,2,34,"Male","American Indian/Aleut/Eskimo","No college degree",1108,40,"Not Hispanic",4470,20220300145300,20220300145302,1469
2022,6,2,61,"Female","White","College degree",2360,60,"Not Hispanic",7480,20210300146300,20210300146302,1471
2022,6,2,23,"Female","White","No college degree",576,40,"Not Hispanic",7970,20220300147400,20220300147401,1478
2022,6,2,25,"Male","White","No college degree",1200,40,"Not Hispanic",770,20220300147400,20220300147402,1478
2022,6,2,25,"Female","White","No college degree",700,40,"Not Hispanic",6880,20210300150100,20210300150101,1499
2022,6,2,55,"Female","White","No college degree",740,46,"Not Hispanic",8090,20220300150300,20220300150302,1503
2022,6,2,51,"Male","White","College degree",1560,40,"Not Hispanic",9490,20220300150900,20220300150902,1504
2022,6,2,17,"Female","White","No college degree",250,NA,"Not Hispanic",8680,20220300150900,20220300150903,1504
2022,6,2,51,"Male","White","No college degree",800,40,"Not Hispanic",170,20220300151800,20220300151802,1507
2022,6,2,47,"Female","American Indian/Aleut/Eskimo","No college degree",808,40,"Not Hispanic",7680,20220300152700,20220300152701,1515
2022,6,2,19,"Male","American Indian/Aleut/Eskimo","No college degree",560,40,"Not Hispanic",4870,20220300152700,20220300152702,1515
2022,6,2,22,"Female","American Indian/Aleut/Eskimo","No college degree",680,40,"Not Hispanic",4870,20220300152700,20220300152704,1515
2022,6,2,27,"Female","White","College degree",1154,40,"Not Hispanic",7490,20210300153700,20210300153701,1529
2022,6,2,41,"Female","White","College degree",2020,40,"Not Hispanic",9590,20220300153600,20220300153602,1537
2022,6,2,69,"Male","White","No college degree",1350,40,"Not Hispanic",690,20210300154800,20210300154801,1546
2022,6,2,31,"Male","White","No college degree",560,40,"Not Hispanic",8770,20210300154800,20210300154804,1546
2022,6,2,31,"Female","White","No college degree",750,45,"Not Hispanic",5381,20210300154800,20210300154805,1546
2022,6,2,31,"Female","White","No college degree",750,45,"Not Hispanic",5381,20210300154800,20210300154806,1546
2022,6,2,32,"Male","White","No college degree",560,40,"Not Hispanic",8770,20210300154800,20210300154803,1546
2022,6,2,36,"Female","White","No college degree",1096,45,"Not Hispanic",9570,20220300155100,20220300155101,1551
2022,6,2,27,"Male","White","No college degree",1154,24,"Not Hispanic",770,20220300155200,20220300155201,1552
2022,6,2,30,"Male","White","College degree",1630,40,"Not Hispanic",670,20210300155800,20210300155801,1553
2022,6,2,29,"Male","White","No college degree",1200,40,"Hispanic",770,20220300157300,20220300157303,1566
2022,6,2,31,"Male","White","No college degree",1000,40,"Hispanic",8680,20220300157300,20220300157304,1566
2022,6,2,42,"Male","White","No college degree",2400,50,"Not Hispanic",770,20210300157900,20210300157901,1568
2022,6,2,32,"Female","White","College degree",1250,51,"Not Hispanic",6680,20210300158700,20210300158701,1571
2022,6,2,30,"Male","White","College degree",2884.61,80,"Not Hispanic",770,20210300158700,20210300158702,1571
2022,6,2,57,"Male","American Indian/Aleut/Eskimo","No college degree",1630,35,"Not Hispanic",770,20220300158700,20220300158701,1574
2022,6,2,24,"Male","White","No college degree",1000,40,"Not Hispanic",8660,20210300161800,20210300161801,1594
2022,6,2,36,"Male","White","No college degree",924,40,"Not Hispanic",8590,20210300164000,20210300164001,1617
2022,6,2,32,"Male","White","College degree",1730,45,"Not Hispanic",9490,20210300164600,20210300164601,1621
2022,6,2,38,"Female","White","College degree",1630,50,"Not Hispanic",7290,20210300164600,20210300164604,1621
2022,6,2,27,"Male","American Indian/Aleut/Eskimo","College degree",1460,49,"Not Hispanic",770,20220300165200,20220300165201,1640
2022,6,2,27,"Male","White","College degree",1730,40,"Not Hispanic",8090,20210300166300,20210300166301,1641
2022,6,2,17,"Female","White","No college degree",1540,40,"Not Hispanic",5275,20220300165700,20220300165703,1648
2022,6,2,45,"Male","White","College degree",1154,50,"Not Hispanic",7071,20220300167600,20220300167601,1671
2022,6,2,42,"Female","White","College degree",2020,50,"Not Hispanic",4170,20220300167600,20220300167602,1671
2022,6,2,35,"Male","White","No college degree",442,35,"Hispanic",770,20220300168100,20220300168101,1679
2022,6,2,47,"Female","Asian-Hawaiian/Pacific Islander","No college degree",1270,50,"Not Hispanic",8370,20220300168200,20220300168201,1681
2022,6,2,28,"Female","White","College degree",770,40,"Not Hispanic",7181,20210300168900,20210300168901,1683
2022,6,2,36,"Male","White","No college degree",740,40,"Not Hispanic",4690,20210300168900,20210300168902,1683
2022,6,2,62,"Male","White","No college degree",1250,40,"Not Hispanic",9490,20210300169700,20210300169701,1687
2022,6,2,59,"Female","White","College degree",1420,32,"Not Hispanic",8191,20210300169700,20210300169702,1687
2022,6,2,45,"Male","White","No college degree",1330,45,"Not Hispanic",6070,20220300171000,20220300171001,1706
2022,6,2,44,"Female","White","College degree",1860,NA,"Not Hispanic",7860,20220300171000,20220300171002,1706
2022,6,2,35,"Female","White-American Indian","No college degree",636,24,"Not Hispanic",6690,20210400171500,20210400171501,1717
2022,6,2,34,"Female","White","No college degree",976,40,"Not Hispanic",8590,20210300174200,20210300174201,1724
