country,Indicator.Name,year,healthexp
Europe & Central Asia (excluding high income),Current health expenditure per capita (current US$),2002,115.913248
Europe & Central Asia,Current health expenditure per capita (current US$),2002,1066.131536
Ecuador,Current health expenditure per capita (current US$),2002,97.3524704
"Egypt, Arab Rep.",Current health expenditure per capita (current US$),2002,67.21645355
Euro area,Current health expenditure per capita (current US$),2002,2012.423177
Eritrea,Current health expenditure per capita (current US$),2002,10.44362736
Spain,Current health expenditure per capita (current US$),2002,1169.059937
Estonia,Current health expenditure per capita (current US$),2002,250.4802094
Ethiopia,Current health expenditure per capita (current US$),2002,5.232793331
European Union,Current health expenditure per capita (current US$),2002,1654.585941
Fragile and conflict affected situations,Current health expenditure per capita (current US$),2002,38.78791821
Finland,Current health expenditure per capita (current US$),2002,1971.683228
Fiji,Current health expenditure per capita (current US$),2002,73.01235962
France,Current health expenditure per capita (current US$),2002,2438.24707
Faroe Islands,Current health expenditure per capita (current US$),2002,NA
"Micronesia, Fed. Sts.",Current health expenditure per capita (current US$),2002,178.638031
Gabon,Current health expenditure per capita (current US$),2002,136.6338501
United Kingdom,Current health expenditure per capita (current US$),2002,1965.769409
Georgia,Current health expenditure per capita (current US$),2002,58.98659897
Ghana,Current health expenditure per capita (current US$),2002,20.13701439
Gibraltar,Current health expenditure per capita (current US$),2002,NA
Guinea,Current health expenditure per capita (current US$),2002,17.8484211
"Gambia, The",Current health expenditure per capita (current US$),2002,16.57744598
Guinea-Bissau,Current health expenditure per capita (current US$),2002,19.98609734
Equatorial Guinea,Current health expenditure per capita (current US$),2002,74.72267914
Greece,Current health expenditure per capita (current US$),2002,NA
Grenada,Current health expenditure per capita (current US$),2002,316.2298584
Greenland,Current health expenditure per capita (current US$),2002,NA
Guatemala,Current health expenditure per capita (current US$),2002,107.955986
Guam,Current health expenditure per capita (current US$),2002,NA
Guyana,Current health expenditure per capita (current US$),2002,64.66991425
High income,Current health expenditure per capita (current US$),2002,2683.053007
"Hong Kong SAR, China",Current health expenditure per capita (current US$),2002,NA
Honduras,Current health expenditure per capita (current US$),2002,73.60421753
Heavily indebted poor countries (HIPC),Current health expenditure per capita (current US$),2002,16.98582027
Croatia,Current health expenditure per capita (current US$),2002,386.4440918
Haiti,Current health expenditure per capita (current US$),2002,21.7909584
Hungary,Current health expenditure per capita (current US$),2002,473.1278381
IBRD only,Current health expenditure per capita (current US$),2002,76.87016821
IDA & IBRD total,Current health expenditure per capita (current US$),2002,63.99768497
IDA total,Current health expenditure per capita (current US$),2002,16.6431424
IDA blend,Current health expenditure per capita (current US$),2002,18.77826769
Indonesia,Current health expenditure per capita (current US$),2002,19.89102554
IDA only,Current health expenditure per capita (current US$),2002,15.58538749
Isle of Man,Current health expenditure per capita (current US$),2002,NA
India,Current health expenditure per capita (current US$),2002,20.30065536
Not classified,Current health expenditure per capita (current US$),2002,NA
Ireland,Current health expenditure per capita (current US$),2002,2190.017822
"Iran, Islamic Rep.",Current health expenditure per capita (current US$),2002,104.6841354
Iraq,Current health expenditure per capita (current US$),2002,NA
Iceland,Current health expenditure per capita (current US$),2002,3091.28833
Israel,Current health expenditure per capita (current US$),2002,1387.578247
Italy,Current health expenditure per capita (current US$),2002,1754.255371
Jamaica,Current health expenditure per capita (current US$),2002,174.9438477
Jordan,Current health expenditure per capita (current US$),2002,174.9880219
Japan,Current health expenditure per capita (current US$),2002,2404.467041
Kazakhstan,Current health expenditure per capita (current US$),2002,58.95573425
Kenya,Current health expenditure per capita (current US$),2002,22.0410881
Kyrgyz Republic,Current health expenditure per capita (current US$),2002,14.77491474
Cambodia,Current health expenditure per capita (current US$),2002,24.56144714
Kiribati,Current health expenditure per capita (current US$),2002,98.46152496
St. Kitts and Nevis,Current health expenditure per capita (current US$),2002,458.8899536
"Korea, Rep.",Current health expenditure per capita (current US$),2002,547.4658203
Kuwait,Current health expenditure per capita (current US$),2002,635.4162598
Latin America & Caribbean (excluding high income),Current health expenditure per capita (current US$),2002,230.6475371
Lao PDR,Current health expenditure per capita (current US$),2002,13.17213345
Lebanon,Current health expenditure per capita (current US$),2002,496.3440857
Liberia,Current health expenditure per capita (current US$),2002,8.342242241
Libya,Current health expenditure per capita (current US$),2002,181.1029663
St. Lucia,Current health expenditure per capita (current US$),2002,303.323761
Latin America & Caribbean,Current health expenditure per capita (current US$),2002,236.1335379
Least developed countries: UN classification,Current health expenditure per capita (current US$),2002,13.09558111
Low income,Current health expenditure per capita (current US$),2002,15.09396057
Liechtenstein,Current health expenditure per capita (current US$),2002,NA
Sri Lanka,Current health expenditure per capita (current US$),2002,42.85560226
Lower middle income,Current health expenditure per capita (current US$),2002,24.27360335
Low & middle income,Current health expenditure per capita (current US$),2002,60.72370159
Lesotho,Current health expenditure per capita (current US$),2002,23.83827209
Late-demographic dividend,Current health expenditure per capita (current US$),2002,94.6966394
Lithuania,Current health expenditure per capita (current US$),2002,254.3668823
Luxembourg,Current health expenditure per capita (current US$),2002,3583.946777
Latvia,Current health expenditure per capita (current US$),2002,237.295166
"Macao SAR, China",Current health expenditure per capita (current US$),2002,NA
St. Martin (French part),Current health expenditure per capita (current US$),2002,NA
Morocco,Current health expenditure per capita (current US$),2002,63.39969254
Monaco,Current health expenditure per capita (current US$),2002,1569.223755
Moldova,Current health expenditure per capita (current US$),2002,33.9242363
Madagascar,Current health expenditure per capita (current US$),2002,15.12862587
Maldives,Current health expenditure per capita (current US$),2002,247.1714325
Middle East & North Africa,Current health expenditure per capita (current US$),2002,153.5563055
Mexico,Current health expenditure per capita (current US$),2002,375.2424011
Marshall Islands,Current health expenditure per capita (current US$),2002,367.1309814
Middle income,Current health expenditure per capita (current US$),2002,64.47625094
North Macedonia,Current health expenditure per capita (current US$),2002,175.036026
Mali,Current health expenditure per capita (current US$),2002,16.69367218
Malta,Current health expenditure per capita (current US$),2002,830.6463013
Myanmar,Current health expenditure per capita (current US$),2002,5.296362877
Middle East & North Africa (excluding high income),Current health expenditure per capita (current US$),2002,86.89414701
Montenegro,Current health expenditure per capita (current US$),2002,NA
Mongolia,Current health expenditure per capita (current US$),2002,29.65273857
Northern Mariana Islands,Current health expenditure per capita (current US$),2002,NA
Mozambique,Current health expenditure per capita (current US$),2002,13.17751122
Mauritania,Current health expenditure per capita (current US$),2002,24.76173019
Mauritius,Current health expenditure per capita (current US$),2002,135.9414368
Malawi,Current health expenditure per capita (current US$),2002,10.98656845
Malaysia,Current health expenditure per capita (current US$),2002,121.9134445
North America,Current health expenditure per capita (current US$),2002,5015.900406
Namibia,Current health expenditure per capita (current US$),2002,168.7424164
New Caledonia,Current health expenditure per capita (current US$),2002,NA
Niger,Current health expenditure per capita (current US$),2002,12.41332245
Nigeria,Current health expenditure per capita (current US$),2002,18.19249725
Nicaragua,Current health expenditure per capita (current US$),2002,57.09508133
Netherlands,Current health expenditure per capita (current US$),2002,2532.855225
Norway,Current health expenditure per capita (current US$),2002,3889.959473
Nepal,Current health expenditure per capita (current US$),2002,10.78904819
Nauru,Current health expenditure per capita (current US$),2002,294.3658142
New Zealand,Current health expenditure per capita (current US$),2002,1246.313477
OECD members,Current health expenditure per capita (current US$),2002,2407.345475
Oman,Current health expenditure per capita (current US$),2002,274.4469604
Other small states,Current health expenditure per capita (current US$),2002,245.100982
Pakistan,Current health expenditure per capita (current US$),2002,15.70380783
Panama,Current health expenditure per capita (current US$),2002,292.8473816
Peru,Current health expenditure per capita (current US$),2002,105.7867966
Philippines,Current health expenditure per capita (current US$),2002,27.3349247
Palau,Current health expenditure per capita (current US$),2002,667.8123779
Papua New Guinea,Current health expenditure per capita (current US$),2002,20.76949883
Poland,Current health expenditure per capita (current US$),2002,315.8314514
Pre-demographic dividend,Current health expenditure per capita (current US$),2002,17.88933482
Puerto Rico,Current health expenditure per capita (current US$),2002,NA
"Korea, Dem. Peopleâ€™s Rep.",Current health expenditure per capita (current US$),2002,NA
Portugal,Current health expenditure per capita (current US$),2002,1105.169556
Paraguay,Current health expenditure per capita (current US$),2002,54.75959778
West Bank and Gaza,Current health expenditure per capita (current US$),2002,NA
Pacific island small states,Current health expenditure per capita (current US$),2002,94.67565527
Post-demographic dividend,Current health expenditure per capita (current US$),2002,2782.584748
French Polynesia,Current health expenditure per capita (current US$),2002,NA
Qatar,Current health expenditure per capita (current US$),2002,736.7611694
Romania,Current health expenditure per capita (current US$),2002,96.57698822
Russian Federation,Current health expenditure per capita (current US$),2002,140.7755737
Rwanda,Current health expenditure per capita (current US$),2002,7.207231522
South Asia,Current health expenditure per capita (current US$),2002,18.91654441
Saudi Arabia,Current health expenditure per capita (current US$),2002,367.7966614
Sudan,Current health expenditure per capita (current US$),2002,20.87003517
Senegal,Current health expenditure per capita (current US$),2002,26.50250435
Singapore,Current health expenditure per capita (current US$),2002,752.2897339
Solomon Islands,Current health expenditure per capita (current US$),2002,80.10824585
Sierra Leone,Current health expenditure per capita (current US$),2002,28.88007355
El Salvador,Current health expenditure per capita (current US$),2002,187.1434784
San Marino,Current health expenditure per capita (current US$),2002,2019.280518
Somalia,Current health expenditure per capita (current US$),2002,NA
Serbia,Current health expenditure per capita (current US$),2002,173.2740631
Sub-Saharan Africa (excluding high income),Current health expenditure per capita (current US$),2002,28.18384711
South Sudan,Current health expenditure per capita (current US$),2002,NA
Sub-Saharan Africa,Current health expenditure per capita (current US$),2002,28.42022877
Small states,Current health expenditure per capita (current US$),2002,240.9622936
Sao Tome and Principe,Current health expenditure per capita (current US$),2002,58.79289627
Suriname,Current health expenditure per capita (current US$),2002,162.636261
Slovak Republic,Current health expenditure per capita (current US$),2002,254.127655
Slovenia,Current health expenditure per capita (current US$),2002,944.8713989
Sweden,Current health expenditure per capita (current US$),2002,2477.208008
Eswatini,Current health expenditure per capita (current US$),2002,73.18050385
Sint Maarten (Dutch part),Current health expenditure per capita (current US$),2002,NA
Seychelles,Current health expenditure per capita (current US$),2002,377.6629639
Syrian Arab Republic,Current health expenditure per capita (current US$),2002,63.92448044
Turks and Caicos Islands,Current health expenditure per capita (current US$),2002,NA
Chad,Current health expenditure per capita (current US$),2002,18.16082764
East Asia & Pacific (IDA & IBRD countries),Current health expenditure per capita (current US$),2002,43.79450484
Europe & Central Asia (IDA & IBRD countries),Current health expenditure per capita (current US$),2002,135.5000213
Togo,Current health expenditure per capita (current US$),2002,11.15905571
Thailand,Current health expenditure per capita (current US$),2002,69.89767456
Tajikistan,Current health expenditure per capita (current US$),2002,8.326761246
Turkmenistan,Current health expenditure per capita (current US$),2002,132.5186768
Latin America & the Caribbean (IDA & IBRD countries),Current health expenditure per capita (current US$),2002,235.8361708
Timor-Leste,Current health expenditure per capita (current US$),2002,NA
Middle East & North Africa (IDA & IBRD countries),Current health expenditure per capita (current US$),2002,86.89414701
Tonga,Current health expenditure per capita (current US$),2002,67.93270111
South Asia (IDA & IBRD),Current health expenditure per capita (current US$),2002,18.91654441
Sub-Saharan Africa (IDA & IBRD countries),Current health expenditure per capita (current US$),2002,28.42022877
Trinidad and Tobago,Current health expenditure per capita (current US$),2002,338.1203308
Tunisia,Current health expenditure per capita (current US$),2002,126.0006638
Turkey,Current health expenditure per capita (current US$),2002,186.697998
Tuvalu,Current health expenditure per capita (current US$),2002,217.2462616
Tanzania,Current health expenditure per capita (current US$),2002,17.04178238
Uganda,Current health expenditure per capita (current US$),2002,22.09596252
Ukraine,Current health expenditure per capita (current US$),2002,52.87698364
Upper middle income,Current health expenditure per capita (current US$),2002,100.5814559
Uruguay,Current health expenditure per capita (current US$),2002,430.0263672
United States,Current health expenditure per capita (current US$),2002,5328.275879
Uzbekistan,Current health expenditure per capita (current US$),2002,20.21747208
St. Vincent and the Grenadines,Current health expenditure per capita (current US$),2002,183.9189301
"Venezuela, RB",Current health expenditure per capita (current US$),2002,282.1663513
British Virgin Islands,Current health expenditure per capita (current US$),2002,NA
Virgin Islands (U.S.),Current health expenditure per capita (current US$),2002,NA
Vietnam,Current health expenditure per capita (current US$),2002,19.55471039
Vanuatu,Current health expenditure per capita (current US$),2002,52.86126709
World,Current health expenditure per capita (current US$),2002,517.2632326
Samoa,Current health expenditure per capita (current US$),2002,76.12429047
Kosovo,Current health expenditure per capita (current US$),2002,NA
"Yemen, Rep.",Current health expenditure per capita (current US$),2002,27.31301498
South Africa,Current health expenditure per capita (current US$),2002,169.0221863
Zambia,Current health expenditure per capita (current US$),2002,25.62234116
Zimbabwe,Current health expenditure per capita (current US$),2002,NA
Aruba,Current health expenditure per capita (current US$),2003,NA
Afghanistan,Current health expenditure per capita (current US$),2003,17.49073792
Angola,Current health expenditure per capita (current US$),2003,34.71829987
Albania,Current health expenditure per capita (current US$),2003,NA
Andorra,Current health expenditure per capita (current US$),2003,2774.0896
Arab World,Current health expenditure per capita (current US$),2003,114.1860782
United Arab Emirates,Current health expenditure per capita (current US$),2003,879.3939209
Argentina,Current health expenditure per capita (current US$),2003,260.769989
Armenia,Current health expenditure per capita (current US$),2003,66.78081512
American Samoa,Current health expenditure per capita (current US$),2003,NA
Antigua and Barbuda,Current health expenditure per capita (current US$),2003,569.6490479
Australia,Current health expenditure per capita (current US$),2003,2240.952148
Austria,Current health expenditure per capita (current US$),2003,3084.311279
Azerbaijan,Current health expenditure per capita (current US$),2003,51.74542618
Burundi,Current health expenditure per capita (current US$),2003,7.123649597
Belgium,Current health expenditure per capita (current US$),2003,2804.908447
Benin,Current health expenditure per capita (current US$),2003,21.5393734
Burkina Faso,Current health expenditure per capita (current US$),2003,11.74841595
Bangladesh,Current health expenditure per capita (current US$),2003,9.963505745
Bulgaria,Current health expenditure per capita (current US$),2003,195.7436981
Bahrain,Current health expenditure per capita (current US$),2003,567.2358398
"Bahamas, The",Current health expenditure per capita (current US$),2003,1223.784302
Bosnia and Herzegovina,Current health expenditure per capita (current US$),2003,180.4241333
Belarus,Current health expenditure per capita (current US$),2003,109.19084169999999
Belize,Current health expenditure per capita (current US$),2003,175.1927338
Bermuda,Current health expenditure per capita (current US$),2003,NA
Bolivia,Current health expenditure per capita (current US$),2003,47.67616653
Brazil,Current health expenditure per capita (current US$),2003,250.5107574
Barbados,Current health expenditure per capita (current US$),2003,787.9133301
Brunei Darussalam,Current health expenditure per capita (current US$),2003,535.131958
Bhutan,Current health expenditure per capita (current US$),2003,38.00271225
Botswana,Current health expenditure per capita (current US$),2003,257.1269836
Central African Republic,Current health expenditure per capita (current US$),2003,12.85223389
Canada,Current health expenditure per capita (current US$),2003,2551.522217
Central Europe and the Baltics,Current health expenditure per capita (current US$),2003,372.9412809
Switzerland,Current health expenditure per capita (current US$),2003,5277.378906
Channel Islands,Current health expenditure per capita (current US$),2003,NA
Chile,Current health expenditure per capita (current US$),2003,351.0978394
China,Current health expenditure per capita (current US$),2003,56.03277206
Cote d'Ivoire,Current health expenditure per capita (current US$),2003,39.31767654
Cameroon,Current health expenditure per capita (current US$),2003,38.89506912
"Congo, Dem. Rep.",Current health expenditure per capita (current US$),2003,6.682243347
"Congo, Rep.",Current health expenditure per capita (current US$),2003,21.11861229
Colombia,Current health expenditure per capita (current US$),2003,125.976738
Comoros,Current health expenditure per capita (current US$),2003,57.44998932
Cabo Verde,Current health expenditure per capita (current US$),2003,87.0982132
Costa Rica,Current health expenditure per capita (current US$),2003,291.7362976
Caribbean small states,Current health expenditure per capita (current US$),2003,282.6392368
Cuba,Current health expenditure per capita (current US$),2003,226.7738495
Curacao,Current health expenditure per capita (current US$),2003,NA
Cayman Islands,Current health expenditure per capita (current US$),2003,NA
Cyprus,Current health expenditure per capita (current US$),2003,1145.058472
Czech Republic,Current health expenditure per capita (current US$),2003,640.6604004
Germany,Current health expenditure per capita (current US$),2003,3138.26123
Djibouti,Current health expenditure per capita (current US$),2003,46.17571259
Dominica,Current health expenditure per capita (current US$),2003,261.7678528
Denmark,Current health expenditure per capita (current US$),2003,3607.042969
Dominican Republic,Current health expenditure per capita (current US$),2003,104.748558
Algeria,Current health expenditure per capita (current US$),2003,75.41760254
East Asia & Pacific (excluding high income),Current health expenditure per capita (current US$),2003,50.01856879
Early-demographic dividend,Current health expenditure per capita (current US$),2003,67.51747299
East Asia & Pacific,Current health expenditure per capita (current US$),2003,251.8987708
Europe & Central Asia (excluding high income),Current health expenditure per capita (current US$),2003,143.2538718
Europe & Central Asia,Current health expenditure per capita (current US$),2003,1326.452584
Ecuador,Current health expenditure per capita (current US$),2003,132.3925934
"Egypt, Arab Rep.",Current health expenditure per capita (current US$),2003,52.98260117
Euro area,Current health expenditure per capita (current US$),2003,2522.616569
Eritrea,Current health expenditure per capita (current US$),2003,13.21901894
Spain,Current health expenditure per capita (current US$),2003,1632.26001
Estonia,Current health expenditure per capita (current US$),2003,349.05804439999997
Ethiopia,Current health expenditure per capita (current US$),2003,5.811179161
European Union,Current health expenditure per capita (current US$),2003,2076.634872
Fragile and conflict affected situations,Current health expenditure per capita (current US$),2003,42.93603315
Finland,Current health expenditure per capita (current US$),2003,2510.001709
Fiji,Current health expenditure per capita (current US$),2003,91.3404541
France,Current health expenditure per capita (current US$),2003,2999.567383
Faroe Islands,Current health expenditure per capita (current US$),2003,NA
"Micronesia, Fed. Sts.",Current health expenditure per capita (current US$),2003,219.5381622
Gabon,Current health expenditure per capita (current US$),2003,173.0264587
United Kingdom,Current health expenditure per capita (current US$),2003,2347.039063
Georgia,Current health expenditure per capita (current US$),2003,71.96018219
Ghana,Current health expenditure per capita (current US$),2003,24.37946892
Gibraltar,Current health expenditure per capita (current US$),2003,NA
Guinea,Current health expenditure per capita (current US$),2003,18.15907097
"Gambia, The",Current health expenditure per capita (current US$),2003,15.20531082
Guinea-Bissau,Current health expenditure per capita (current US$),2003,23.96666145
Equatorial Guinea,Current health expenditure per capita (current US$),2003,107.1668015
Greece,Current health expenditure per capita (current US$),2003,NA
Grenada,Current health expenditure per capita (current US$),2003,312.9335327
Greenland,Current health expenditure per capita (current US$),2003,NA
Guatemala,Current health expenditure per capita (current US$),2003,113.6128998
Guam,Current health expenditure per capita (current US$),2003,NA
Guyana,Current health expenditure per capita (current US$),2003,67.86012268
High income,Current health expenditure per capita (current US$),2003,3045.793646
"Hong Kong SAR, China",Current health expenditure per capita (current US$),2003,NA
Honduras,Current health expenditure per capita (current US$),2003,81.27610779
Heavily indebted poor countries (HIPC),Current health expenditure per capita (current US$),2003,19.7833068
Croatia,Current health expenditure per capita (current US$),2003,512.1520996
Haiti,Current health expenditure per capita (current US$),2003,18.16031456
Hungary,Current health expenditure per capita (current US$),2003,682.8656616
IBRD only,Current health expenditure per capita (current US$),2003,85.08335815
IDA & IBRD total,Current health expenditure per capita (current US$),2003,71.23963135
IDA total,Current health expenditure per capita (current US$),2003,20.70866302
IDA blend,Current health expenditure per capita (current US$),2003,26.80666485
Indonesia,Current health expenditure per capita (current US$),2003,26.64472771
IDA only,Current health expenditure per capita (current US$),2003,17.68128242
Isle of Man,Current health expenditure per capita (current US$),2003,NA
India,Current health expenditure per capita (current US$),2003,22.06719208
Not classified,Current health expenditure per capita (current US$),2003,NA
Ireland,Current health expenditure per capita (current US$),2003,2904.407471
"Iran, Islamic Rep.",Current health expenditure per capita (current US$),2003,115.4462585
Iraq,Current health expenditure per capita (current US$),2003,28.15644646
Iceland,Current health expenditure per capita (current US$),2003,3955.023926
Israel,Current health expenditure per capita (current US$),2003,1417.606812
Italy,Current health expenditure per capita (current US$),2003,2158.177002
Jamaica,Current health expenditure per capita (current US$),2003,158.3518372
Jordan,Current health expenditure per capita (current US$),2003,172.2284698
Japan,Current health expenditure per capita (current US$),2003,2642.032471
Kazakhstan,Current health expenditure per capita (current US$),2003,75.36910248
Kenya,Current health expenditure per capita (current US$),2003,25.43789101
Kyrgyz Republic,Current health expenditure per capita (current US$),2003,22.32658577
Cambodia,Current health expenditure per capita (current US$),2003,25.22072029
Kiribati,Current health expenditure per capita (current US$),2003,108.1970215
St. Kitts and Nevis,Current health expenditure per capita (current US$),2003,471.3421021
"Korea, Rep.",Current health expenditure per capita (current US$),2003,648.1060791
Kuwait,Current health expenditure per capita (current US$),2003,713.156311
Latin America & Caribbean (excluding high income),Current health expenditure per capita (current US$),2003,239.0428447
Lao PDR,Current health expenditure per capita (current US$),2003,17.96419334
Lebanon,Current health expenditure per capita (current US$),2003,456.4795532
Liberia,Current health expenditure per capita (current US$),2003,7.541222572
Libya,Current health expenditure per capita (current US$),2003,189.8437195
St. Lucia,Current health expenditure per capita (current US$),2003,321.2228394
Latin America & Caribbean,Current health expenditure per capita (current US$),2003,244.7367626
Least developed countries: UN classification,Current health expenditure per capita (current US$),2003,15.14047508
Low income,Current health expenditure per capita (current US$),2003,17.03766696
Liechtenstein,Current health expenditure per capita (current US$),2003,NA
Sri Lanka,Current health expenditure per capita (current US$),2003,42.38858414
Lower middle income,Current health expenditure per capita (current US$),2003,27.48266646
Low & middle income,Current health expenditure per capita (current US$),2003,67.62037722
Lesotho,Current health expenditure per capita (current US$),2003,33.14006042
Late-demographic dividend,Current health expenditure per capita (current US$),2003,105.7915509
Lithuania,Current health expenditure per capita (current US$),2003,338.8630676
Luxembourg,Current health expenditure per capita (current US$),2003,4597.075195
Latvia,Current health expenditure per capita (current US$),2003,280.5087891
"Macao SAR, China",Current health expenditure per capita (current US$),2003,NA
St. Martin (French part),Current health expenditure per capita (current US$),2003,NA
Morocco,Current health expenditure per capita (current US$),2003,79.44080353
Monaco,Current health expenditure per capita (current US$),2003,2229.539307
Moldova,Current health expenditure per capita (current US$),2003,38.43836975
Madagascar,Current health expenditure per capita (current US$),2003,17.46053123
Maldives,Current health expenditure per capita (current US$),2003,235.9890747
Middle East & North Africa,Current health expenditure per capita (current US$),2003,150.4983013
Mexico,Current health expenditure per capita (current US$),2003,401.4545898
Marshall Islands,Current health expenditure per capita (current US$),2003,364.7119141
Middle income,Current health expenditure per capita (current US$),2003,71.82719139
North Macedonia,Current health expenditure per capita (current US$),2003,217.2165527
Mali,Current health expenditure per capita (current US$),2003,20.34435081
Malta,Current health expenditure per capita (current US$),2003,1074.09314
Myanmar,Current health expenditure per capita (current US$),2003,4.912911892
Middle East & North Africa (excluding high income),Current health expenditure per capita (current US$),2003,84.19068145
Montenegro,Current health expenditure per capita (current US$),2003,NA
Mongolia,Current health expenditure per capita (current US$),2003,26.50237274
Northern Mariana Islands,Current health expenditure per capita (current US$),2003,NA
Mozambique,Current health expenditure per capita (current US$),2003,14.91689587
Mauritania,Current health expenditure per capita (current US$),2003,27.97454453
Mauritius,Current health expenditure per capita (current US$),2003,162.0018463
Malawi,Current health expenditure per capita (current US$),2003,12.16074181
Malaysia,Current health expenditure per capita (current US$),2003,143.0026245
North America,Current health expenditure per capita (current US$),2003,5423.804781
Namibia,Current health expenditure per capita (current US$),2003,248.1072235
New Caledonia,Current health expenditure per capita (current US$),2003,NA
Niger,Current health expenditure per capita (current US$),2003,14.60109901
Nigeria,Current health expenditure per capita (current US$),2003,39.41695404
Nicaragua,Current health expenditure per capita (current US$),2003,53.69551086
Netherlands,Current health expenditure per capita (current US$),2003,3237.084473
Norway,Current health expenditure per capita (current US$),2003,4632.568359
Nepal,Current health expenditure per capita (current US$),2003,11.39634037
Nauru,Current health expenditure per capita (current US$),2003,343.6306152
New Zealand,Current health expenditure per capita (current US$),2003,1610.937622
OECD members,Current health expenditure per capita (current US$),2003,2729.310238
Oman,Current health expenditure per capita (current US$),2003,287.7733765
Other small states,Current health expenditure per capita (current US$),2003,309.9255508
Pakistan,Current health expenditure per capita (current US$),2003,14.97817039
Panama,Current health expenditure per capita (current US$),2003,287.9050598
Peru,Current health expenditure per capita (current US$),2003,111.9560776
Philippines,Current health expenditure per capita (current US$),2003,32.25115585
Palau,Current health expenditure per capita (current US$),2003,705.2000122
Papua New Guinea,Current health expenditure per capita (current US$),2003,22.40012932
Poland,Current health expenditure per capita (current US$),2003,339.3352051
Pre-demographic dividend,Current health expenditure per capita (current US$),2003,25.556497
Puerto Rico,Current health expenditure per capita (current US$),2003,NA
"Korea, Dem. Peopleâ€™s Rep.",Current health expenditure per capita (current US$),2003,NA
